route_id,service_id,trip_id,shape_id,direction_id
N60B,Bas.my,R1705043_T3,R1705043,1
N60B,Bas.my,R1705043_T4,R1705043,1
N60B,Bas.my,R1705043_T5,R1705043,1
N60B,Bas.my,R1705043_T6,R1705043,1
N60B,Bas.my,R1705043_T7,R1705043,1
N60B,Bas.my,R1705043_T8,R1705043,1
N60B,Bas.my,R1705043_T9,R1705043,1
N60B,Bas.my,R1705043_T10,R1705043,1
N60B,Bas.my,R1705043_T11,R1705043,1
N60B,Bas.my,R1705043_T12,R1705043,1
N60B,Bas.my,R1705043_T13,R1705043,1
N60B,Bas.my,R1705043_T14,R1705043,1
N60B,Bas.my,R1705043_T15,R1705043,1
N60B,Bas.my,R1705043_T16,R1705043,1
