trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
214_0_WE_7,13:05:00,13:05:10,6790,21,0
214_0_WE_7,13:06:00,13:06:10,6791,22,0
214_0_WE_7,13:07:00,13:07:10,6792,23,0
214_0_WE_7,13:08:00,13:08:10,6793,24,0
214_0_WE_7,13:10:00,13:10:10,6794,25,0
214_0_WE_7,13:11:00,13:11:10,6795,26,0
214_0_WE_8,13:30:00,13:30:10,6973,1,0
214_0_WE_8,13:31:00,13:31:10,6591,2,0
214_0_WE_8,13:32:00,13:32:10,6592,3,0
214_0_WE_8,13:33:00,13:33:10,6593,4,0
214_0_WE_8,13:34:00,13:34:10,6595,5,0
214_0_WE_8,13:35:00,13:35:10,6596,6,0
214_0_WE_8,13:36:00,13:36:10,6597,7,0
214_0_WE_8,13:37:00,13:37:10,6598,8,0
214_0_WE_8,13:38:00,13:38:10,6779,9,0
214_0_WE_8,13:39:00,13:39:10,6780,10,0
214_0_WE_8,13:40:00,13:40:10,6781,11,0
214_0_WE_8,13:41:00,13:41:10,6782,12,0
214_0_WE_8,13:43:00,13:43:10,6783,13,0
214_0_WE_8,13:44:00,13:44:10,6784,14,0
214_0_WE_8,13:51:00,13:51:10,6605,15,0
214_0_WE_8,13:52:00,13:52:10,6606,16,0
214_0_WE_8,13:53:00,13:53:10,6607,17,0
214_0_WE_8,13:55:00,13:55:10,6608,18,0
214_0_WE_8,14:02:00,14:02:10,6610,19,0
214_0_WE_8,14:04:00,14:04:10,6611,20,0
214_0_WE_8,14:05:00,14:05:10,6790,21,0
214_0_WE_8,14:06:00,14:06:10,6791,22,0
214_0_WE_8,14:07:00,14:07:10,6792,23,0
214_0_WE_8,14:08:00,14:08:10,6793,24,0
214_0_WE_8,14:10:00,14:10:10,6794,25,0
214_0_WE_8,14:11:00,14:11:10,6795,26,0
214_0_WE_9,14:30:00,14:30:10,6973,1,0
214_0_WE_9,14:31:00,14:31:10,6591,2,0
214_0_WE_9,14:32:00,14:32:10,6592,3,0
214_0_WE_9,14:33:00,14:33:10,6593,4,0
214_0_WE_9,14:34:00,14:34:10,6595,5,0
214_0_WE_9,14:35:00,14:35:10,6596,6,0
214_0_WE_9,14:36:00,14:36:10,6597,7,0
214_0_WE_9,14:37:00,14:37:10,6598,8,0
214_0_WE_9,14:38:00,14:38:10,6779,9,0
214_0_WE_9,14:39:00,14:39:10,6780,10,0
214_0_WE_9,14:40:00,14:40:10,6781,11,0
214_0_WE_9,14:41:00,14:41:10,6782,12,0
214_0_WE_9,14:43:00,14:43:10,6783,13,0
214_0_WE_9,14:44:00,14:44:10,6784,14,0
214_0_WE_9,14:51:00,14:51:10,6605,15,0
214_0_WE_9,14:52:00,14:52:10,6606,16,0
214_0_WE_9,14:53:00,14:53:10,6607,17,0
214_0_WE_9,14:55:00,14:55:10,6608,18,0
214_0_WE_9,15:02:00,15:02:10,6610,19,0
214_0_WE_9,15:04:00,15:04:10,6611,20,0
214_0_WE_9,15:05:00,15:05:10,6790,21,0
214_0_WE_9,15:06:00,15:06:10,6791,22,0
214_0_WE_9,15:07:00,15:07:10,6792,23,0
214_0_WE_9,15:08:00,15:08:10,6793,24,0
214_0_WE_9,15:10:00,15:10:10,6794,25,0
214_0_WE_9,15:11:00,15:11:10,6795,26,0
214_0_WE_10,15:30:00,15:30:10,6973,1,0
214_0_WE_10,15:31:00,15:31:10,6591,2,0
214_0_WE_10,15:32:00,15:32:10,6592,3,0
214_0_WE_10,15:33:00,15:33:10,6593,4,0
214_0_WE_10,15:34:00,15:34:10,6595,5,0
214_0_WE_10,15:35:00,15:35:10,6596,6,0
214_0_WE_10,15:36:00,15:36:10,6597,7,0
214_0_WE_10,15:37:00,15:37:10,6598,8,0
214_0_WE_10,15:38:00,15:38:10,6779,9,0
214_0_WE_10,15:39:00,15:39:10,6780,10,0
214_0_WE_10,15:40:00,15:40:10,6781,11,0
214_0_WE_10,15:41:00,15:41:10,6782,12,0
214_0_WE_10,15:43:00,15:43:10,6783,13,0
214_0_WE_10,15:44:00,15:44:10,6784,14,0
214_0_WE_10,15:51:00,15:51:10,6605,15,0
214_0_WE_10,15:52:00,15:52:10,6606,16,0
214_0_WE_10,15:53:00,15:53:10,6607,17,0
214_0_WE_10,15:55:00,15:55:10,6608,18,0
214_0_WE_10,16:02:00,16:02:10,6610,19,0
214_0_WE_10,16:04:00,16:04:10,6611,20,0
214_0_WE_10,16:05:00,16:05:10,6790,21,0
214_0_WE_10,16:06:00,16:06:10,6791,22,0
214_0_WE_10,16:07:00,16:07:10,6792,23,0
214_0_WE_10,16:08:00,16:08:10,6793,24,0
214_0_WE_10,16:10:00,16:10:10,6794,25,0
214_0_WE_10,16:11:00,16:11:10,6795,26,0
214_0_WE_11,16:30:00,16:30:10,6973,1,0
214_0_WE_11,16:31:00,16:31:10,6591,2,0
214_0_WE_11,16:32:00,16:32:10,6592,3,0
214_0_WE_11,16:33:00,16:33:10,6593,4,0
214_0_WE_11,16:34:00,16:34:10,6595,5,0
214_0_WE_11,16:35:00,16:35:10,6596,6,0
214_0_WE_11,16:36:00,16:36:10,6597,7,0
214_0_WE_11,16:37:00,16:37:10,6598,8,0
214_0_WE_11,16:38:00,16:38:10,6779,9,0
214_0_WE_11,16:39:00,16:39:10,6780,10,0
214_0_WE_11,16:40:00,16:40:10,6781,11,0
214_0_WE_11,16:41:00,16:41:10,6782,12,0
214_0_WE_11,16:43:00,16:43:10,6783,13,0
214_0_WE_11,16:44:00,16:44:10,6784,14,0
214_0_WE_11,16:51:00,16:51:10,6605,15,0
214_0_WE_11,16:52:00,16:52:10,6606,16,0
214_0_WE_11,16:53:00,16:53:10,6607,17,0
214_0_WE_11,16:55:00,16:55:10,6608,18,0
214_0_WE_11,17:02:00,17:02:10,6610,19,0
214_0_WE_11,17:04:00,17:04:10,6611,20,0
214_0_WE_11,17:05:00,17:05:10,6790,21,0
214_0_WE_11,17:06:00,17:06:10,6791,22,0
214_0_WE_11,17:07:00,17:07:10,6792,23,0
214_0_WE_11,17:08:00,17:08:10,6793,24,0
214_0_WE_11,17:10:00,17:10:10,6794,25,0
214_0_WE_11,17:11:00,17:11:10,6795,26,0
214_0_WE_12,17:30:00,17:30:10,6973,1,0
214_0_WE_12,17:31:00,17:31:10,6591,2,0
214_0_WE_12,17:32:00,17:32:10,6592,3,0
214_0_WE_12,17:33:00,17:33:10,6593,4,0
214_0_WE_12,17:34:00,17:34:10,6595,5,0
214_0_WE_12,17:35:00,17:35:10,6596,6,0
214_0_WE_12,17:36:00,17:36:10,6597,7,0
214_0_WE_12,17:37:00,17:37:10,6598,8,0
214_0_WE_12,17:38:00,17:38:10,6779,9,0
214_0_WE_12,17:39:00,17:39:10,6780,10,0
214_0_WE_12,17:40:00,17:40:10,6781,11,0
214_0_WE_12,17:41:00,17:41:10,6782,12,0
214_0_WE_12,17:43:00,17:43:10,6783,13,0
214_0_WE_12,17:44:00,17:44:10,6784,14,0
214_0_WE_12,17:51:00,17:51:10,6605,15,0
214_0_WE_12,17:52:00,17:52:10,6606,16,0
214_0_WE_12,17:53:00,17:53:10,6607,17,0
214_0_WE_12,17:55:00,17:55:10,6608,18,0
214_0_WE_12,18:02:00,18:02:10,6610,19,0
214_0_WE_12,18:04:00,18:04:10,6611,20,0
214_0_WE_12,18:05:00,18:05:10,6790,21,0
214_0_WE_12,18:06:00,18:06:10,6791,22,0
214_0_WE_12,18:07:00,18:07:10,6792,23,0
214_0_WE_12,18:08:00,18:08:10,6793,24,0
214_0_WE_12,18:10:00,18:10:10,6794,25,0
214_0_WE_12,18:11:00,18:11:10,6795,26,0
214_0_WE_13,18:30:00,18:30:10,6973,1,0
214_0_WE_13,18:31:00,18:31:10,6591,2,0
214_0_WE_13,18:32:00,18:32:10,6592,3,0
214_0_WE_13,18:33:00,18:33:10,6593,4,0
214_0_WE_13,18:34:00,18:34:10,6595,5,0
214_0_WE_13,18:35:00,18:35:10,6596,6,0
214_0_WE_13,18:36:00,18:36:10,6597,7,0
214_0_WE_13,18:37:00,18:37:10,6598,8,0
214_0_WE_13,18:38:00,18:38:10,6779,9,0
214_0_WE_13,18:39:00,18:39:10,6780,10,0
214_0_WE_13,18:40:00,18:40:10,6781,11,0
214_0_WE_13,18:41:00,18:41:10,6782,12,0
214_0_WE_13,18:43:00,18:43:10,6783,13,0
214_0_WE_13,18:44:00,18:44:10,6784,14,0
214_0_WE_13,18:51:00,18:51:10,6605,15,0
214_0_WE_13,18:52:00,18:52:10,6606,16,0
214_0_WE_13,18:53:00,18:53:10,6607,17,0
214_0_WE_13,18:55:00,18:55:10,6608,18,0
214_0_WE_13,19:02:00,19:02:10,6610,19,0
214_0_WE_13,19:04:00,19:04:10,6611,20,0
214_0_WE_13,19:05:00,19:05:10,6790,21,0
214_0_WE_13,19:06:00,19:06:10,6791,22,0
214_0_WE_13,19:07:00,19:07:10,6792,23,0
214_0_WE_13,19:08:00,19:08:10,6793,24,0
214_0_WE_13,19:10:00,19:10:10,6794,25,0
